post_id,title,category,score,num_comments,author,collected_at
49506819,Breaking Claude Code Opus 5 Auto Mode,technology,122,30,Recursing,2026-08-31 17:43:19.223492
49508506,I Think the Military Commissary's Freezers Were Hacked,worldnews,21,10,jcurbo,2026-08-31 17:43:21.075233
49505219,P99 0 ms* autocomplete for 240M domain names,technology,153,64,dbalatero,2026-08-31 17:43:22.037246
49506182,"A 12TB Steam ""teraleak"" spills more than a decade of lost PC gaming history",sports,196,35,WithinReason,2026-08-31 17:43:26.640090
49475568,"Using floci to emulate Cloud platforms (GCP, AWS, Azure)",technology,7,0,linkdd,2026-08-31 17:43:30.499932
49499867,Haiku R1/beta6 has been released,technology,338,95,metrofun,2026-08-31 17:43:31.475157
49485020,Highlighting My Code Based on How Much I Care,technology,82,45,hankbond,2026-08-31 17:43:34.460735
49507121,Study: Blue light impairs the eye's ability to distinguish fine detail most,technology,8,9,giuliomagnifico,2026-08-31 17:43:36.397736
49478426,Show HN: NFC Energy-Harvesting PCB Business Card with an MCU,science,186,19,WilsonHarper,2026-08-31 17:43:38.240357
49502214,Cores in space: The core memory module from a 1980 Spacelab computer,technology,116,19,pwg,2026-08-31 17:43:41.182144
49480091,It takes 5 cloud services to hear my doorbell,technology,191,173,vghaisas,2026-08-31 17:43:42.237473
49501611,Why open source rocks – a new SM750 (Silicon Motion GPU) HDMI Driver,technology,115,40,SillyUsername,2026-08-31 17:43:46.924415
49496918,Arbitrary code execution in QubesOS via copy-to-VM error reporting backchannel,technology,240,95,vntok,2026-08-31 17:43:55.322880
49496782,Longest Straight Line Paths on Water or Land on the Earth (2018),technology,206,59,joebig,2026-08-31 17:43:57.217685
49506519,Claude Code reduces it's weekly limit by 17% – compared to today,technology,41,19,partsch,2026-08-31 17:44:03.788887
49463397,Electric rain can eat through metal,technology,113,22,sohkamyung,2026-08-31 17:44:04.663838
49508151,Local AI Is Dead. You Are at the Funeral,technology,5,5,tosh,2026-08-31 17:44:06.518748
49499394,European Commission Revives Push for Encryption Backdoors in ProtectEU Strategy,worldnews,431,180,nickslaughter02,2026-08-31 17:44:08.385498
49495372,California lawmakers unanimously pass Linux exemption from age-verification law,technology,753,371,shscs911,2026-08-31 17:44:11.218014
49498978,Europe's summer drought is so extreme that desertification is a growing threat,worldnews,315,388,Brajeshwar,2026-08-31 17:44:12.192281
49497819,An implementation of Conway's Game of Life for Windows 3.1x and later,sports,56,14,Bluestein,2026-08-31 17:44:13.046886
49474515,Synchronisation and SMPTE timecode (time code),technology,45,19,sublinear,2026-08-31 17:44:13.980122
49499831,Startup Anti-Patterns,technology,168,81,rzk,2026-08-31 17:44:15.027761
49430745,"JupyterGIS 0.16: a grammar of graphics for maps, and collaborative story maps",science,108,9,arjxn-py,2026-08-31 17:44:19.465818
49450461,Commercially Available Bike Generators Are Not Sustainable (2011),science,46,45,baud147258,2026-08-31 17:44:22.247745
49438865,"Show HN: I missed the moving blocks, so I built a real Linux disk defragmenter",entertainment,94,67,gbin,2026-08-31 17:44:36.896290
49504900,Pentagon installs military influencers in civilian roles,worldnews,29,2,dataflow,2026-08-31 17:44:40.023717
49506655,Meta Security Researcher's AI Agent Accidentally Deleted Her Emails,science,52,43,Bluestein,2026-08-31 17:44:41.019649
49505062,"SolarWindow launches 0.85 mm-thick, self-adhesive solar film",entertainment,25,17,thelastgallon,2026-08-31 17:44:49.453658
